Time,Name/Nickname,Gender,Age,Maximum rating in Dota,Current Dota rating,Number of Hours ingame (atleast approximate),How many games do you play per week on average?,My mood worsens if I don't play Dota 2 for a long time,I spend almost all my free time on Dota 2,I often play more than I need to because I can't stop (register a new game),"When I play Dota, I'm completely focused on it (I don't play ""for fun"")",Every week/month I spend more time in Dota than before,"I often regist the next game despite discomfort (I can play hungry, sleepy, not feeling well, etc.)",I don't tell family/friends about the number of hours I spend in Dota,Dota lets me forget about stress and life problems irl,"Due to the number of hours spent in the game, I study / work / perform other tasks worse",Every game in DotA I play to win.,"I often play DotA pho fan - I'm interested in the process of the game itself (I try different builds, new heroes, bundles, etc.)","If my teammates frankly ruin the game, I can ruin them in response",I can pour out of the game / get into the amulet if something goes wrong,I have a specific goal - to upgrade the birds (for example: get 6k mmr or a medal of the lord / devine / titan),I play dota to win,"In DotA, too much depends not on me and my game","If I lose, then this is most often due to the bad game of teammates","If I had a strong team in every game, I would almost never lose",My possible pts is much bigger than my actual one,I have been sitting on the same rating for a long time without any visible progress,I often lose my desire to play when my teammates play badly,"MMR is just a number, it does not show the player's real skill","Write down the three heroes that you have played the most games on, the number and win rate on these heroes (for example: Pudge, 152 games, 56%):"
2021/11/10 4:57:31 PM GMT+3,Sapphire,?,23,5050,3900,8,6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,4,5,2,4,4,4,3,5,2,1,1,3,5,2,3,3,4,3,3,3,"???????, 181 ????, 57,5%. ??????????, 173 ????, 59%. ????, 165 ???, 58,8%"
2021/11/10 5:01:33 PM GMT+3,Fox,?,21,?? ????? ???????,?? ????? ???????,2500,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,5,1,1,3,1,1,4,3,1,1,1,5,1,1,1,3,1,5,1,"?????? ??????, 200, 65%, ?? 50+-, 57,9%,  ?????? ???????? 94, 51%"
2021/11/10 5:06:23 PM GMT+3,Lokdelar,?,15,800,800,1300,"?????? 50 ??? (???? ???? ??? ILTW, ?????????? ?????? ???? ???-????)",1,5,3,1,1,5,1,5,1,1,5,5,5,1,1,5,5,5,1,5,1,5,???? ???? ????? 
2021/11/10 5:10:39 PM GMT+3,??????? ????,?,16,3000,3300,250,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,5,4,2,4,4,1,2,5,1,1,1,5,5,3,3,5,5,2,5,5,??????? ???? 70 ??? 59.????? 60 ???? 56 ??? ??????? 110 52 ???
2021/11/10 5:10:52 PM GMT+3,??????? ?????? ??????,?,15,1100-150,1000,2?,20-30 ??? (?????? ???? ?? ????????? ???),3,4,4,4,2,5,5,5,5,4,2,5,5,5,5,3,4,5,3,3,4,2,"????? ??????????????? ?? 1 ???????. ?? ?????? ????? ????? ???????) ??? 1 ?? 125 ??? 44%, ??? 2 ?????? ??? 82 ???? 75% ???????, ??? 3 ?????? 69 ??? 50.7% ???????) ?? ? ???? ????? ???? ?? ???? ??????? "
2021/11/10 5:13:02 PM GMT+3,?????,?,15,800,600,2.5?,20-30 ??? (?????? ???? ?? ????????? ???),3,3,3,5,1,5,5,5,1,4,3,1,4,1,5,3,3,3,3,5,2,4,"??? ?????, 80 ???, 70%
??????,60 ???, 55%
????? ??????, 73 ????, 48%"
2021/11/10 5:16:30 PM GMT+3,?????,?,23,5800,5700,7000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,1,5,2,5,3,1,2,5,3,1,1,3,3,3,3,5,3,1,2,1,"????????? 523 ???? 59%, ?????? 306 ??? 57%, ???? 251 ???? 57%. "
2021/11/10 5:20:42 PM GMT+3,-,?,17,1350,1330,3454,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,2,2,2,1,5,1,3,4,2,4,2,1,4,5,4,4,4,5,3,2,"?? ???? ???? ?????????? ????? ?.? ????? ? turbo ? ? ?????????? ?????? ?? ????????????? ????,?? ?????? ????? ????? ?? ???????? ? ???????"
2021/11/10 5:24:50 PM GMT+3,?????????,?,21,+-1200,1000,2300-2500,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,4,5,5,3,2,5,4,4,4,1,5,3,5,5,3,4,4,2,5,4,3,"??????, 150 ???, 44,5%; ??????, 144 ????, 61,8%; ??????????, 88 ???, 56,8%"
2021/11/10 5:32:26 PM GMT+3,????,?,18,700,360,600,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,2,4,3,2,4,3,2,5,2,2,1,5,5,3,3,3,3,5,3,2,"Juggernaut, 38 ???, 42%  Sven, 25 ???, 64%  Faceless Void, 25 ???, 76%"
2021/11/10 5:32:53 PM GMT+3,???? ???? lester,?,13,360,360,550,20-30 ??? (?????? ???? ?? ????????? ???),4,5,3,4,4,1,1,4,2,4,2,1,1,5,5,3,2,2,4,1,3,5,"?????, 50 ???, 56%, ????????,20 ???,70%,??????? ??????,20 ???,42% "
2021/11/10 5:34:15 PM GMT+3,????,?,20,2700,1100,2700,1-5 ??? (?? ???????? ????? ???? ?????),2,2,1,3,1,2,2,3,3,4,3,3,3,3,4,2,2,2,3,4,4,4,"???? 144 ???? 56 ???????, ??????????? 103 ???? 59 ???????, ???????? 98 ??? 49 ???????. "
2021/11/10 5:37:54 PM GMT+3,????????? ????????? ??????,?,17,2000,1500,1900,20-30 ??? (?????? ???? ?? ????????? ???),3,4,5,4,1,2,3,4,4,4,2,2,2,4,5,2,2,5,4,3,5,4,"????, 258 ???, 63%; ?????????, 156, 55%, ??????, 46, 60%"
2021/11/10 5:39:56 PM GMT+3,????,?,22,4300,3800,5000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,4,4,1,4,4,5,2,2,3,1,1,4,4,2,2,2,4,4,1,2,"night stalker, phoenix, nature prothet"
2021/11/10 5:45:41 PM GMT+3,???????0,?,13,1200,1000,700,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,2,3,1,4,3,5,4,4,2,2,2,1,5,2,2,4,3,4,2,5,"????, 94 ????, 55% , ?????, 59 ???, 58%, ???????????, 24 ???? , 61%"
2021/11/10 5:51:10 PM GMT+3,paranoid,?,18,4k,3k,3.5k,20-30 ??? (?????? ???? ?? ????????? ???),2,2,1,5,3,2,5,5,1,4,2,1,2,5,5,3,2,3,4,5,3,3,"(???????? ??? ????????) ???? +- 250 ???, ???????? 53-56%; ???? 150 +- ???, ??????? 60%; ??????? 200 +- ???, ??????? 57-60%"
2021/11/10 5:52:38 PM GMT+3,Igor,?,19,3100,2600,3500,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,2,1,4,2,1,3,4,1,4,3,1,1,3,4,4,2,3,4,2,3,4,"shadow fiend, 96, 46%. ogre magi, 94, 58%. treant protector, 75, 69%"
2021/11/10 5:52:39 PM GMT+3,Ramp,?,18,1890,"??, ???????? ??? ??",1000,1-5 ??? (?? ???????? ????? ???? ?????),2,1,1,4,1,1,5,4,2,4,4,1,1,5,4,3,4,3,4,3,3,4,"? ???????? ??????? ?????, ???? ???????? ????????? ??????? ??????, ????? ? ??"
2021/11/10 5:55:53 PM GMT+3,Sel`skiy deputat,?,20,1240,1240,800,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,3,4,2,3,2,1,1,4,2,1,1,5,1,3,3,2,4,1,2,3,"Slark(23, 65%), Tide(23, 47%), Clinkz(22, 63%)"
2021/11/10 5:58:20 PM GMT+3,tsukishinsei,?,18,?????????? (???-?? ?? 1?),?????????? ,130,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,3,2,5,4,5,5,5,3,5,2,1,1,2,3,2,4,3,3,5,4,"Shadow Shaman, 21 ???, 52%. Leon, 13 ???, 46%, Disraptor, 5 ???, 20%"
2021/11/10 6:01:19 PM GMT+3,pochita,?,15,1740,1410,2227,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,2,3,1,1,3,1,1,5,3,3,2,4,4,3,2,3,3,5,4,3,"??? ??????, 135 ????, 56,3%; ???????????, 114 ???, 53,5%;????? ????, 67 ???, 50,7%."
2021/11/10 6:06:41 PM GMT+3,Woodenton,?,22,4500,3850,8000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,2,4,1,1,1,1,1,4,2,1,1,4,4,3,2,2,3,2,3,2,"https://www.dotabuff.com/players/130760516
https://www.dotabuff.com/players/1055287244

???????? ? ???? ????? ???????? ???????? - ?? ??????, ????? ?????????? ?????
?????? ???:
?? 230 ???? 55%
?? 210 ???? 55%
???? 154 ???? 57%

????? ???:
?????? 23 ???? 47%
?????? 19 ??? 78%
???? 16 ??? 56%"
2021/11/10 6:07:37 PM GMT+3,??????,?,20,2500,1200,2000,20-30 ??? (?????? ???? ?? ????????? ???),4,5,4,4,3,5,3,4,5,3,2,1,1,4,4,3,2,2,3,3,4,3,"????, 148 ???, 61%. ?????, 146 ???, 36%. ??????, 111 ???, 53%"
2021/11/10 6:08:26 PM GMT+3,HORIZON,?,20,"4 ? ???-??, ?? ????? 4500 ",3700,????? 5-6 ? ,20-30 ??? (?????? ???? ?? ????????? ???),2,4,5,5,3,2,3,4,5,5,1,1,1,1,3,3,2,3,2,3,2,3,"???? ?????? ????? ? ????? ? 3 ?????????: 
1) ????, ~500, 56-57% 
2) ?????, ~330, 61%
3) ??????, ~300, 65%"
2021/11/10 6:09:43 PM GMT+3,??????? 9,?,25,2300,1700,948,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,4,5,3,4,3,2,3,5,2,1,1,4,4,3,3,3,2,5,5,3,"???????, 88 ???, 45,45%
??????, 55 ???, 61,82%
???, 50 ???, 50%"
2021/11/10 6:13:47 PM GMT+3,??????? ????????????,?,24,????,?? ???? ??,10? ????????,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,1,3,1,2,1,3,1,3,3,4,3,1,3,4,5,5,3,3,2,5,"Earth Spirit, Brew?master?. ?????? ????? ??? ?? ???, ?????????? ?? ???? ???????, ?????? ??? ????? ????? ?????????. ??????? ?? ????, ???? ?????????. ? ??? ?? ??????? ?? ????? ? ??????????. "
2021/11/10 6:15:01 PM GMT+3,???????,?,19,3600,3550,1450,1-5 ??? (?? ???????? ????? ???? ?????),3,1,1,3,2,1,1,4,1,5,3,1,1,2,4,3,2,5,3,3,3,4,"???, 256 ???, 68%; ??, 212 ???, 59%; ???, 129 ???, 64%"
2021/11/10 6:16:20 PM GMT+3,Unknowactor,?,23,1800,1720,"????? 3000, ????????? 65 ?????? ??? ???????? ? ?????? ????????",6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,1,2,2,1,5,4,2,2,4,1,1,1,4,3,2,3,1,4,3,2,"???? ??????, 265 ???, 56.6%. ?????? 34 ???? 52 %. ??????? 24 ????, 29%"
2021/11/10 6:18:53 PM GMT+3,??????,?,15,2300,2180,2000,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,3,4,3,1,1,2,4,3,4,2,1,1,5,4,2,3,4,5,5,4,2,??????? 147 56% ???? 80 62% ?? 68 46%
2021/11/10 6:21:51 PM GMT+3,?????????? ,?,19,6100,5800,10000,20-30 ??? (?????? ???? ?? ????????? ???),4,3,3,2,1,3,1,4,3,3,2,5,1,1,2,3,4,5,3,4,2,2,????? 3?-65%/???? 1?-60%/???? 800-52%
2021/11/10 6:23:08 PM GMT+3,???? ???,?,15,1600,1500,1300,?????? 30 ??? (?? ????? ???????? ?????? ????),4,5,5,5,2,2,5,5,4,5,2,1,1,5,5,1,1,2,3,4,3,2,?? 197 ??? 56% ????? 106 58% ?? 59 74%
2021/11/10 6:23:50 PM GMT+3,???????,?,15,840,720,200,6-10 ??? (???? ???? ? ?????? ?????????-????),4,2,1,3,1,2,4,4,2,3,3,1,1,4,3,4,3,4,3,4,5,4,"???????, ????, ???????"
2021/11/10 6:24:51 PM GMT+3,Qismatzoda,?,21,6400,5500,10000,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,5,4,2,5,5,5,5,4,1,2,2,4,4,4,2,3,1,5,2,1,"Invoker, 4213 ???, 58%. SF, 326 ???, 47%. Tinker,311 ???, 52%"
2021/11/10 6:30:01 PM GMT+3,SS Rank,?,19,1560,1460,1700,20-30 ??? (?????? ???? ?? ????????? ???),2,4,2,4,4,4,4,3,4,5,2,5,4,5,5,4,4,3,3,4,3,3,"Shadow Fiend, 81 ???, 43.21%.
 Phantom Lancer, 75 ???, 62.67%. 
Wraith King, 66 ??? 56.06%"
2021/11/10 6:33:25 PM GMT+3,?????,?,13,?? ?????????????? ,?? ?????????????? ,130,20-30 ??? (?????? ???? ?? ????????? ???),3,2,3,3,2,2,1,5,4,4,3,2,1,4,3,4,3,3,3,3,3,3,"??????,13 ???,84%.??,11??? 44%.???? 9???,88%"
2021/11/10 6:35:05 PM GMT+3,Image Material,?,21,5600,5100,6500,20-30 ??? (?????? ???? ?? ????????? ???),2,4,3,4,2,2,4,5,3,5,3,1,1,4,5,3,3,4,4,2,2,4,"wraith king, 500, 62%, drow ranger, 150, 65%, ursa, 120, 58%"
2021/11/10 6:36:22 PM GMT+3,Creep,?,15,4080,3900,1838,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,1,5,3,4,1,2,1,5,2,1,1,1,5,4,3,4,1,1,2,1,"Spectre, 286 ???, 65%. Legion Commander, 177 ???, 67%. Anti-Mage, 127 ???, 52%."
2021/11/10 6:38:17 PM GMT+3,?????,?,27,1180,1180,"3000, ????? ? 2008??",6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,4,1,1,1,3,1,3,3,1,1,1,2,2,2,1,2,3,3,1,"??? ??????, 53 ????, 64.2%; ????, 43 ????, 48,8%; ?????? ????(??), 35 ???, 71.4%; ?????????? ?????? ?? ????? ???, ?? ??????? +-650 ?????"
2021/11/10 6:38:37 PM GMT+3,PrOStAlKeR312,?,15,550,520,557,1-5 ??? (?? ???????? ????? ???? ?????),2,2,1,3,1,2,4,3,2,4,3,2,1,2,3,3,2,3,4,5,3,4,"Sf 41 ???? 58%, ???? 39 ??? 51%, ???? 30 ??? 60%"
2021/11/10 6:41:14 PM GMT+3,One of God's mistakes,?,20,3500,2200,3000,1-5 ??? (?? ???????? ????? ???? ?????),1,2,5,4,1,5,5,3,4,5,2,2,1,2,5,5,2,2,2,3,5,3,"????, 146, 59.59%. ??????????, 112, 57.14%. ?????, 52, 65.38%"
2021/11/10 6:42:32 PM GMT+3,Lainc,?,15,3450,3450,3800,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,2,4,1,1,1,4,2,4,4,2,1,1,4,4,3,5,4,1,5,2,"???? - 33 ????, 51,5%; ???? - 28 ???, 60,7%; ????? - 25 ???, 48%; ???? - 25 ???, 36%(??????? 4 ?????, ?.?. ?? ?????? ? ?? ????? ?????????? ?????????? ???)."
2021/11/10 6:46:57 PM GMT+3,l4uck,?,20,4300,3800,5000,?????? 30 ??? (?? ????? ???????? ?????? ????),4,5,5,2,3,5,5,4,5,4,4,1,2,5,4,1,1,2,3,2,2,1,"(Lone druid, 279 ???, 60.8% ??? ????) (Clincz. 150 ???, 62%) (storm spirit, 149 ???, 54.4%)  (????, 141 ????, 69,5%) Windranger, 125 ???, 60,8%) (pfantom assasin, 121 ????, 62,8%) (legion comander, 120 ???, 48,3%)                       (Lone druid ?? ??????? ???????? ? 3200, 136 ???, 75% ???????)"
2021/11/10 6:49:04 PM GMT+3,Bobzek,?,19,4400,4350,6k,20-30 ??? (?????? ???? ?? ????????? ???),2,3,4,4,2,2,4,3,3,4,2,1,1,5,5,4,2,5,3,1,3,2,"?? 400 66%, ???? 900 61%, ?? 350 59%"
2021/11/10 6:49:19 PM GMT+3,lefo,?,16,1000,690,800,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,2,2,2,1,5,2,2,4,1,3,4,4,5,5,3,5,5,3,4,4,"???????? ???? 199 ??? 53%
???? 113 ??? 49%
???? 75 ??? 56%"
2021/11/10 7:01:26 PM GMT+3,Dotasss66,?,16,1250,1000,1500,?????? 30 ??? (?? ????? ???????? ?????? ????),2,3,1,5,2,5,5,3,5,4,1,3,2,5,5,3,4,5,3,5,5,2,"?????? 100 ???, 45%, ??????? 150 ???, 52% ??????? 50 ???, 54%"
2021/11/10 7:03:33 PM GMT+3,????? ,?,14,341,341,573,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,3,3,2,4,1,5,4,4,3,1,1,2,4,4,2,2,1,3,5,3,"?????,37 ???, 48,6% ????????, 16 ???, 68,8%  ????, 11 ???, 63,6%"
2021/11/10 7:04:54 PM GMT+3,I’m so lazy to think about nick,?,22,3300,2800,2300,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,3,3,2,3,5,3,1,4,2,1,1,5,3,3,3,2,4,2,3,3,"????? 259 ??? 56.76%, ???? 101 ???? 50.5% ??????? 77 ??? 55.84%"
2021/11/10 7:06:38 PM GMT+3,Aetherblyyy,?,16,2440,2440,1128,1-5 ??? (?? ???????? ????? ???? ?????),2,1,1,5,2,1,2,4,1,5,3,1,2,5,5,3,3,5,4,2,1,2,"?????, 39 ???, 61%
??????????, 28 ???, 60%
?????? ??????, 27 ???, 70%"
2021/11/10 7:09:57 PM GMT+3,???? ?????????,?,19,4200,3150,4?,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,5,1,3,5,4,1,4,1,1,3,3,4,3,5,3,5,3,5,3,"????? 300 ???, 70%, ???? 200??? 60%"
2021/11/10 7:10:35 PM GMT+3,Jija,?,19,3200,2880,4000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,3,1,2,2,1,1,1,4,1,1,1,3,4,3,4,3,1,4,3,"???? 250 ??? 58%, ?? 98 ??? 60%, ????? 80 ??? 60%"
2021/11/10 7:17:06 PM GMT+3,0%,?,19,3800,3500,3500,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,3,2,1,3,5,5,1,5,4,1,1,1,2,1,1,1,1,5,3,2,"??????, 381, 54.1%
??????, 150, 64%
??????????, 139, 61.2%
"
2021/11/10 7:20:18 PM GMT+3,DvDos,?,20,2800,2500,3500,20-30 ??? (?????? ???? ?? ????????? ???),3,4,5,5,4,5,5,5,5,5,2,1,1,5,5,4,3,4,4,4,5,2,"????, 112 ???? 60%"
2021/11/10 7:20:21 PM GMT+3,say goodbye,?,15,3600,3000,3000,?????? 30 ??? (?? ????? ???????? ?????? ????),2,4,5,5,2,5,1,5,2,4,2,1,1,5,5,2,2,3,3,1,3,2,"???????, 257 ????, 52%. ???? 160 ???? 57%. ?? 100 ???? 50%"
2021/11/10 7:21:06 PM GMT+3,??????????????,?,23,3200,2000,14?,20-30 ??? (?????? ???? ?? ????????? ???),2,2,2,1,2,3,4,5,2,3,1,5,4,1,5,5,1,1,1,5,5,5,??? ????? 300+61%????? 150+60%???? 76 59%
2021/11/10 7:23:19 PM GMT+3,free demon ,?,20,5480,5480,5 ?????,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,4,2,3,2,2,4,4,2,4,2,2,2,5,5,3,3,4,3,3,4,1,—
2021/11/10 7:28:09 PM GMT+3,Nikower,?,17,1200,600,2000,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,3,2,1,1,2,4,2,5,4,1,1,4,3,2,2,3,5,5,4,5,"techies 119 58.8%, nature's prophet 71 56.3%,shadow shaman 30 53.3%"
2021/11/10 7:29:32 PM GMT+3,Voxe1,?,14,600,180,644 ????,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,2,4,3,3,4,4,1,5,2,1,1,5,4,3,3,5,5,5,4,4," Earth Spirit 13 ???? 61,5% Lina 18 ??? 61,1% Tinker 19 ??? 47,4%"
2021/11/10 7:32:11 PM GMT+3,ReasoN,?,21,3170,2980,1100,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,3,1,3,2,5,5,2,3,1,1,1,2,1,1,5,5,5,1,3,"?? 57% 200 ???, ?? 50% 100 ???"
2021/11/10 7:33:52 PM GMT+3,bkhts,?,27,5500,4700,10000,20-30 ??? (?????? ???? ?? ????????? ???),2,4,1,4,3,1,5,5,4,5,3,5,3,3,5,4,3,4,5,4,4,4,"????, 237 ???, 58%
???????, 368 ???, 51%
???????, 157 ???, 55%"
2021/11/10 7:36:41 PM GMT+3,Denet,?,23,4500,4080,4954,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,1,3,1,2,1,1,4,4,2,1,1,3,4,3,3,4,3,5,3,3,"Phantom assassin, 221 games, 64.7%; Windranger, 212 games, 59%; Lina, 162 games, 48,1%."
2021/11/10 7:38:40 PM GMT+3,twelveone,?,18,5500,5100,5500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,2,5,2,1,5,3,3,5,1,1,1,4,5,2,2,1,1,3,3,1,"??????? 1100 57%, ???? 300 51%, ?? 150 69%"
2021/11/10 7:39:53 PM GMT+3,TeaMan,?,16,2020,1960,1980,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,1,3,1,2,2,4,1,4,4,1,1,5,4,2,2,3,4,2,1,2,"???? 55 ??? 58%, ???? 25 ??? 56%, ?????? 16 ??? 81%"
2021/11/10 7:40:15 PM GMT+3,another,?,26,3800,2700,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,5,5,1,3,4,5,4,5,5,1,1,3,4,3,1,3,3,2,3,2,"Morphling 569 52.37% 
Phantom Lancer 60 61.67%
Drow Ranger 51 62.75%"
2021/11/10 7:40:34 PM GMT+3,??????,?,23,4040,3950,4000,20-30 ??? (?????? ???? ?? ????????? ???),1,3,4,5,3,2,1,4,4,5,1,1,1,5,5,3,3,5,5,1,3,1,"Arc Warden 340 ??? 60.9%, Night Stalker 244 ???? 59,8%, Faceless Void 138 ??? 50%"
2021/11/10 7:41:42 PM GMT+3,Doblaeb ,?,17,1000,900,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,2,3,4,1,5,1,2,5,4,4,3,5,5,5,3,3,5,5,5,4,"?????????, 115, 54.8%; ??, 65, 61.5%; ????, 59,50.8%"
2021/11/10 7:42:43 PM GMT+3,Dydsku,?,16,2500,2500,1500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,1,4,1,1,2,4,2,5,1,1,1,4,4,2,2,3,5,1,2,3,"Lycan 152 ????, 68% Drow Ranger 120 65% Monkey king 100 66%"
2021/11/10 7:45:59 PM GMT+3,????,?,23,1200,105,2632,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,4,1,3,2,3,2,4,2,1,1,5,4,3,2,2,4,5,3,2,"Axe 51???a, 58,33%
Nyx Assassin 48 ???, 58,33%
Crystal Maiden 39 ???, 52,28%"
2021/11/10 7:47:39 PM GMT+3,zxcmeawad,?,13,400,300,1000+,20-30 ??? (?????? ???? ?? ????????? ???),3,5,3,5,1,5,1,5,5,5,1,1,1,5,5,1,5,4,3,1,5,3,Ursa 44  43.18%      Arc Warden 42  50.00%  Dawnbreaker 27 51.85%
2021/11/10 7:47:54 PM GMT+3,anonim,?,16,1740,1740,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,4,5,2,2,3,2,2,5,2,1,1,2,4,1,2,1,2,1,3,2,"??????, 50 ???, 60%; ????, 30 ???, 55%;  ??????, 30 ???, 60%"
2021/11/10 7:49:22 PM GMT+3,xLyst,?,20,4990,4200-4500,7000+,20-30 ??? (?????? ???? ?? ????????? ???),4,3,2,5,3,1,1,4,4,4,2,5,3,4,5,4,3,1,5,3,4,4,Windranger 319 ??? 56.1%. Monkey king 254 ???? 58.7%. Weaver 247 ??? 61.1%
2021/11/10 7:50:14 PM GMT+3,???/???????,?,24,3900,2600,3700,1-5 ??? (?? ???????? ????? ???? ?????),1,2,1,5,1,1,1,3,1,5,1,1,1,5,4,2,4,5,5,1,2,2,"103 44.6% 100 59% 86 40% (???? ???? ???????? ?? ??? ??????? ? ????????? ?????, ?.?. ??????????? ?? ???? ??? ???? ??? ? ?????? ????, ?????? ??????? ??? ????? ?? ??? ?? ??????, ?? ?? ??? ? ????? ??????????; + ???? ???? ??????? ???????? ????? ?????? ?? ??????????? ??????) ??????? ?? ????"
2021/11/10 7:51:53 PM GMT+3,AllyAsamm,?,20,2100,1800,2890,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,3,2,4,2,2,4,2,3,4,2,1,1,4,4,2,3,4,3,3,4,4,"?????????? 316, 51%; ?????? 210, 65%; ??? ?????? 199, 54%"
2021/11/10 7:52:15 PM GMT+3,????/Slonopop,?,24,2100,1300,4300,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,2,3,2,4,1,4,2,4,4,1,1,1,4,3,2,2,2,3,1,3,"Crystal Maiden: 200 ???, 64.5%/  Disruptor: 126 ???, 49.2% / Lion: 119 ???, 56.3%"
2021/11/10 7:55:10 PM GMT+3,?????,?,20,4700,4000,6500,11-20 ??? (????? ?????? ???? ?? ????????? ???),5,5,5,5,2,3,4,5,4,5,1,1,1,5,5,5,4,2,5,4,5,1,"Juggernaut - 250~, 60%~; Phantom Assasin - 200~, 60%; Anti-mage - 200~, 55%~"
2021/11/10 7:55:25 PM GMT+3,Whooeeta,?,16,6400,5300,1500,1-5 ??? (?? ???????? ????? ???? ?????),3,3,4,3,2,3,5,5,5,5,1,5,5,1,5,4,4,5,2,5,5,1,"Naga siren 287 ??? 78%
Shadow fiend 70 ??? 42%
Beastmaster 97 ??? 72%"
2021/11/10 7:55:50 PM GMT+3,Ruslan,?,28,4000,3500,7000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,3,4,3,3,4,5,5,4,4,2,2,1,5,3,4,3,4,3,4,5,5,"Silencer,  201????, 55.31%; ??, 108 ???, 55,60%; Slark 412 ???, 56,88%. (2 ???????? 3-3.5)"
